Project,CWE,Severity,Occurances
Autoware,CWE-78,High,4
Autoware,CWE-611,High,2
Autoware,CWE-913,Medium,1
Openpilot,CWE-476,High,3
Openpilot,CWE-78,High,12
Openpilot,CWE-78,High,3
Openpilot,CWE-427,High,2
Openpilot,CWE-22,Medium,2
Openpilot,CWE-798,High,1
Openpilot,CWE-611,High,1
Openpilot,CWE-125,Medium,1
Openpilot,CWE-502,Medium,9
Openpilot,CWE-353,Medium,6
Openpilot,CWE-706,Medium,5
Openpilot,CWE-939,Medium,3
Openpilot,CWE-327,Medium,1
Openpilot,CWE-276,Medium,1
Openpilot,CWE-95,Low,1
Openpilot,CWE-78,Low,4
Openpilot,CWE-319,Low,1
Openpilot,CWE-319,Low,1
Apollo,CWE-416,High,2
Apollo,CWE-22,High,1
Apollo,CWE-78,High,7
Apollo,CWE-79,High,4
Apollo,CWE-319,High,4
Apollo,CWE-611,High,2
Apollo,CWE-120,Medium,3
Apollo,CWE-125,Medium,1
Apollo,CWE-125,Medium,1
Apollo,CWE-22,Medium,13
Apollo,CWE-20,Medium,9
Apollo,CWE-676,Medium,4
Apollo,CWE-116,Medium,2
Apollo,CWE-353,Medium,2
Apollo,CWE-668,Medium,1
Apollo,CWE-96,Medium,1
Apollo,CWE-95,Medium,1
Apollo,CWE-706,Medium,1
Apollo,CWE-1333,Medium,1
Apollo,CWE-78,Low,4
Apollo,CWE-134,Low,7
